model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize
 Corolla;2019;20990;Manual;8503;Petrol;150;39.2;1.2
 Corolla;2019;17890;Manual;3695;Petrol;150;39.2;1.2
 Corolla;2019;18995;Manual;2579;Petrol;145;39.2;1.2
 Corolla;2019;17990;Manual;6057;Petrol;145;39.2;1.2
 Corolla;2019;18690;Manual;2907;Petrol;145;39.2;1.2
 Corolla;2019;16990;Manual;7134;Petrol;145;39.2;1.2
 Corolla;2019;16990;Manual;25;Petrol;145;39.2;1.2
 Corolla;2019;22727;Automatic;4451;Hybrid;135;72.4;2.0
 Corolla;2019;20995;Automatic;5668;Hybrid;135;72.4;2.0
 Corolla;2019;20995;Automatic;5250;Hybrid;135;85.6;1.8
 Corolla;2019;22290;Automatic;4633;Hybrid;140;78.5;1.8
 Corolla;2019;16490;Manual;9625;Petrol;145;39.2;1.2
 Corolla;2019;19790;Automatic;5804;Hybrid;135;85.6;1.8
 Corolla;2019;15790;Manual;10000;Petrol;145;39.2;1.2
 Corolla;2019;17480;Manual;9999;Petrol;145;39.2;1.2
 Corolla;2020;24980;Automatic;5000;Hybrid;135;57.7;1.8
 Corolla;2019;18990;Manual;3860;Petrol;145;39.2;1.2
 Corolla;2019;21495;Automatic;9004;Hybrid;135;85.6;1.8
 Corolla;2019;17960;Manual;4500;Petrol;145;39.2;1.2
 Corolla;2019;17960;Manual;4500;Petrol;145;39.2;1.2
 Corolla;2019;23995;Automatic;5784;Hybrid;135;72.4;2.0
 Corolla;2019;17995;Manual;6551;Petrol;145;39.2;1.2
 Corolla;2019;24795;Automatic;6770;Hybrid;135;72.4;2.0
 Corolla;2019;18995;Manual;500;Petrol;145;39.2;1.2
 Corolla;2019;19995;Manual;500;Petrol;145;39.2;1.2
 Corolla;2019;22595;Automatic;10500;Hybrid;135;72.4;2.0
 Corolla;2019;25595;Automatic;1215;Hybrid;135;78.5;1.8
 Corolla;2019;23445;Automatic;5558;Hybrid;135;78.5;1.8
 Corolla;2019;23395;Automatic;6125;Hybrid;135;78.5;1.8
 Corolla;2019;23445;Automatic;2620;Hybrid;135;78.5;1.8
 Corolla;2019;24998;Automatic;2474;Hybrid;140;72.4;2.0
 Corolla;2019;23498;Automatic;6513;Hybrid;140;78.5;1.8
 Corolla;2019;23995;Automatic;6989;Hybrid;135;72.4;2.0
 Corolla;2019;22995;Automatic;11000;Hybrid;140;72.4;2.0
 Corolla;2019;22995;Automatic;3754;Hybrid;135;78.5;1.8
 Corolla;2020;28815;Automatic;987;Hybrid;140;53.3;2.0
 Corolla;2019;19995;Automatic;11293;Hybrid;135;85.6;1.8
 Corolla;2019;19995;Automatic;5674;Hybrid;140;85.6;1.8
 Corolla;2019;23995;Automatic;9250;Hybrid;135;72.4;2.0
 Corolla;2019;23495;Manual;5600;Petrol;145;39.2;1.2
 Corolla;2020;27995;Automatic;2500;Hybrid;135;53.3;2.0
 Corolla;2019;21000;Automatic;11449;Hybrid;140;78.5;1.8
 Corolla;2020;28000;Automatic;10;Hybrid;140;56.5;1.8
 Corolla;2019;17999;Manual;3510;Petrol;145;39.2;1.2
 Corolla;2019;20497;Automatic;4412;Hybrid;135;78.5;1.8
 Corolla;2019;23500;Automatic;10016;Hybrid;135;78.5;1.8
 Corolla;2019;21665;Automatic;11051;Hybrid;135;85.6;1.8
 Corolla;2019;21280;Manual;5102;Petrol;145;39.2;1.2
 Corolla;2019;24960;Automatic;2535;Hybrid;135;72.4;2.0
 Corolla;2019;19540;Manual;8970;Petrol;145;39.2;1.2
 Corolla;2019;20110;Automatic;5922;Hybrid;135;85.6;1.8
 Corolla;2019;23060;Automatic;15631;Hybrid;135;72.4;2.0
 Corolla;2020;26991;Automatic;3636;Hybrid;140;53.3;2.0
 Corolla;2019;22900;Automatic;5910;Hybrid;135;85.6;1.8
 Corolla;2019;24025;Automatic;8812;Hybrid;135;78.5;1.8
 Corolla;2019;26495;Automatic;1000;Hybrid;135;72.4;2.0
 Corolla;2019;27795;Automatic;1000;Hybrid;135;72.4;2.0
 Corolla;2019;22999;Automatic;4113;Hybrid;135;85.6;1.8
 Corolla;2019;21999;Automatic;8171;Hybrid;135;78.5;1.8
 Corolla;2019;19990;Manual;3422;Petrol;145;39.2;1.2
 Corolla;2019;19900;Manual;6522;Petrol;145;39.2;1.2
 Corolla;2019;22000;Automatic;11478;Hybrid;135;78.5;1.8
 Corolla;2019;19290;Manual;10011;Petrol;150;39.2;1.2
 Corolla;2019;19995;Manual;7777;Petrol;145;39.2;1.2
 Corolla;2019;23888;Automatic;14417;Hybrid;140;72.4;2.0
 Corolla;2019;22495;Automatic;2034;Hybrid;140;78.5;1.8
 Corolla;2020;28495;Automatic;2141;Hybrid;140;56.5;1.8
 Corolla;2019;25195;Automatic;3998;Hybrid;135;72.4;2.0
 Corolla;2019;21495;Automatic;10420;Hybrid;140;85.6;1.8
 Corolla;2019;21790;Automatic;10120;Hybrid;140;78.5;1.8
 Corolla;2020;24995;Automatic;3989;Hybrid;135;57.7;1.8
 Corolla;2020;22995;Automatic;636;Hybrid;135;62.8;1.8
 Corolla;2019;26995;Automatic;3000;Hybrid;140;72.4;2.0
 Corolla;2019;21995;Automatic;9333;Hybrid;135;78.5;1.8
 Corolla;2019;17495;Manual;999;Petrol;145;39.2;1.2
 Corolla;2019;22050;Automatic;12000;Hybrid;135;72.4;2.0
 Corolla;2020;28795;Automatic;1544;Hybrid;135;53.3;2.0
 Corolla;2020;20692;Manual;7345;Petrol;145;39.2;1.2
 Corolla;2019;21495;Automatic;20657;Hybrid;140;85.6;1.8
 Corolla;2019;22514;Automatic;8309;Hybrid;135;78.5;1.8
 Corolla;2020;29450;Automatic;943;Hybrid;135;53.3;2.0
 Corolla;2020;26950;Automatic;3168;Hybrid;135;53.3;2.0
 Corolla;2020;24995;Automatic;2136;Hybrid;135;56.5;1.8
 Corolla;2019;23000;Automatic;6158;Hybrid;140;72.4;2.0
 Corolla;2019;20689;Automatic;7963;Hybrid;135;85.6;1.8
 Corolla;2019;19219;Manual;384;Petrol;145;39.2;1.2
 Corolla;2019;21991;Automatic;5000;Hybrid;135;78.5;1.8
 Corolla;2019;22980;Automatic;3459;Hybrid;135;72.4;2.0
 Corolla;2019;15291;Manual;7317;Petrol;145;39.2;1.2
 Corolla;2019;22780;Automatic;9980;Hybrid;135;72.4;2.0
 Corolla;2020;19495;Manual;4568;Petrol;150;39.2;1.2
 Corolla;2019;18991;Automatic;7000;Hybrid;135;85.6;1.8
 Corolla;2019;19291;Automatic;13998;Hybrid;135;85.6;1.8
 Corolla;2019;23505;Automatic;9264;Hybrid;135;78.5;1.8
 Corolla;2019;17865;Manual;17197;Petrol;145;39.2;1.2
 Corolla;2019;20499;Automatic;4942;Hybrid;135;85.6;1.8
 Corolla;2020;27893;Automatic;3390;Hybrid;135;72.4;2.0
 Corolla;2019;22226;Automatic;9264;Hybrid;135;78.5;1.8
 Corolla;2019;16821;Manual;6329;Petrol;145;39.2;1.2
 Corolla;2020;25998;Automatic;5000;Hybrid;140;53.3;2.0
